date,area,average_price,code,houses_sold,no_of_crimes
2019-02-01,barking and dagenham,293881,E09000002,139.0,1576.0
2019-03-01,barking and dagenham,294585,E09000002,154.0,1711.0
2019-04-01,barking and dagenham,296360,E09000002,119.0,1681.0
2019-05-01,barking and dagenham,296555,E09000002,109.0,1830.0
2019-06-01,barking and dagenham,295600,E09000002,124.0,1698.0
2019-07-01,barking and dagenham,299538,E09000002,141.0,1820.0
2019-08-01,barking and dagenham,300702,E09000002,154.0,1550.0
2019-09-01,barking and dagenham,305277,E09000002,125.0,1649.0
2019-10-01,barking and dagenham,304153,E09000002,131.0,1794.0
2019-11-01,barking and dagenham,305882,E09000002,124.0,1653.0
2001-01-01,barnet,175475,E09000003,450.0,2338.0
2001-02-01,barnet,178108,E09000003,388.0,2290.0
2001-03-01,barnet,178226,E09000003,537.0,2328.0
2001-04-01,barnet,178813,E09000003,527.0,2180.0
2001-05-01,barnet,178636,E09000003,613.0,2870.0
2001-06-01,barnet,181194,E09000003,659.0,2411.0
2001-07-01,barnet,183941,E09000003,693.0,2438.0
2001-08-01,barnet,187691,E09000003,753.0,2225.0
2001-09-01,barnet,190954,E09000003,569.0,2103.0
2001-10-01,barnet,194320,E09000003,566.0,2336.0
2001-11-01,barnet,198610,E09000003,581.0,2394.0
2001-12-01,barnet,200792,E09000003,467.0,2146.0
2002-01-01,barnet,203249,E09000003,501.0,2373.0
2002-02-01,barnet,202713,E09000003,482.0,2143.0
2002-03-01,barnet,204694,E09000003,574.0,2334.0
2002-04-01,barnet,208077,E09000003,585.0,2201.0
2002-05-01,barnet,214594,E09000003,666.0,2458.0
2002-06-01,barnet,219793,E09000003,603.0,2261.0
2002-07-01,barnet,227129,E09000003,754.0,2581.0
2002-08-01,barnet,230537,E09000003,761.0,2440.0
2002-09-01,barnet,233748,E09000003,570.0,2433.0
2002-10-01,barnet,232184,E09000003,615.0,2610.0
2002-11-01,barnet,235730,E09000003,570.0,2586.0
2002-12-01,barnet,236506,E09000003,634.0,2324.0
2003-01-01,barnet,244239,E09000003,507.0,2614.0
2003-02-01,barnet,245752,E09000003,427.0,2418.0
2003-03-01,barnet,250708,E09000003,421.0,2552.0
2003-04-01,barnet,246175,E09000003,434.0,2557.0
2003-05-01,barnet,244449,E09000003,450.0,2581.0
2003-06-01,barnet,244464,E09000003,463.0,2681.0
2003-07-01,barnet,250826,E09000003,520.0,2839.0
2003-08-01,barnet,254882,E09000003,574.0,2559.0
2003-09-01,barnet,257504,E09000003,588.0,2635.0
2003-10-01,barnet,257724,E09000003,623.0,2560.0
2003-11-01,barnet,257772,E09000003,572.0,2506.0
2003-12-01,barnet,260059,E09000003,629.0,2365.0
2004-01-01,barnet,259868,E09000003,556.0,2751.0
2004-02-01,barnet,261559,E09000003,500.0,2595.0
2004-03-01,barnet,261478,E09000003,607.0,2873.0
2004-04-01,barnet,263774,E09000003,599.0,2616.0
2004-05-01,barnet,269023,E09000003,492.0,2812.0
2004-06-01,barnet,272859,E09000003,713.0,2705.0
2004-07-01,barnet,276811,E09000003,735.0,2847.0
2004-08-01,barnet,276712,E09000003,618.0,2721.0
2004-09-01,barnet,278219,E09000003,483.0,2763.0
2004-10-01,barnet,278320,E09000003,491.0,2781.0
2004-11-01,barnet,282306,E09000003,433.0,2893.0
2004-12-01,barnet,281320,E09000003,464.0,2609.0
2005-01-01,barnet,282820,E09000003,336.0,2710.0
2005-02-01,barnet,277154,E09000003,296.0,2343.0
2005-03-01,barnet,274216,E09000003,363.0,2689.0
2005-04-01,barnet,272772,E09000003,439.0,2714.0
2005-05-01,barnet,273841,E09000003,434.0,2630.0
2005-06-01,barnet,279515,E09000003,502.0,2593.0
2005-07-01,barnet,279928,E09000003,489.0,2605.0
2005-08-01,barnet,282066,E09000003,503.0,2419.0
2005-09-01,barnet,283148,E09000003,531.0,2585.0
2005-10-01,barnet,283024,E09000003,474.0,2831.0
2005-11-01,barnet,283421,E09000003,489.0,2762.0
2005-12-01,barnet,281611,E09000003,524.0,2485.0
2006-01-01,barnet,282334,E09000003,435.0,2551.0
2006-02-01,barnet,281120,E09000003,443.0,2290.0
2006-03-01,barnet,281674,E09000003,512.0,2646.0
2006-04-01,barnet,283206,E09000003,459.0,2585.0
2006-05-01,barnet,286462,E09000003,497.0,2403.0
2006-06-01,barnet,287725,E09000003,633.0,2300.0
2006-07-01,barnet,292435,E09000003,660.0,2284.0
2006-08-01,barnet,296104,E09000003,696.0,2311.0
2006-09-01,barnet,300381,E09000003,604.0,2356.0
2006-10-01,barnet,299832,E09000003,586.0,2417.0
2006-11-01,barnet,300765,E09000003,619.0,2456.0
2006-12-01,barnet,304015,E09000003,608.0,2343.0
2007-01-01,barnet,306484,E09000003,505.0,2376.0
2007-02-01,barnet,309910,E09000003,494.0,2076.0
2007-03-01,barnet,310377,E09000003,593.0,2092.0
2007-04-01,barnet,313521,E09000003,511.0,2139.0
2007-05-01,barnet,318831,E09000003,568.0,2342.0
2007-06-01,barnet,323805,E09000003,679.0,2307.0
2007-07-01,barnet,331745,E09000003,661.0,2242.0
2007-08-01,barnet,334689,E09000003,688.0,2166.0
2007-09-01,barnet,340987,E09000003,629.0,2101.0
2007-10-01,barnet,342548,E09000003,638.0,2149.0
2007-11-01,barnet,345869,E09000003,528.0,2256.0
2007-12-01,barnet,344219,E09000003,367.0,1920.0
2008-01-01,barnet,344480,E09000003,354.0,2157.0
2008-02-01,barnet,339644,E09000003,347.0,1880.0
2008-03-01,barnet,335896,E09000003,333.0,2144.0
2008-04-01,barnet,333836,E09000003,314.0,2140.0
2008-05-01,barnet,338033,E09000003,372.0,2281.0
2008-06-01,barnet,340825,E09000003,317.0,2155.0
2008-07-01,barnet,337540,E09000003,326.0,2231.0
2008-08-01,barnet,329269,E09000003,244.0,1977.0
2008-09-01,barnet,320831,E09000003,234.0,1982.0
2008-10-01,barnet,318948,E09000003,231.0,2242.0
2008-11-01,barnet,314868,E09000003,176.0,2195.0
2008-12-01,barnet,306110,E09000003,190.0,2169.0
2009-01-01,barnet,294598,E09000003,139.0,2201.0
2009-02-01,barnet,289251,E09000003,153.0,1809.0
2009-03-01,barnet,288719,E09000003,157.0,2189.0
2009-04-01,barnet,286601,E09000003,184.0,2024.0
2009-05-01,barnet,288396,E09000003,191.0,2200.0
2009-06-01,barnet,291608,E09000003,212.0,2196.0
2009-07-01,barnet,301141,E09000003,327.0,2234.0
2009-08-01,barnet,305077,E09000003,314.0,2035.0
2009-09-01,barnet,310670,E09000003,362.0,2114.0
2009-10-01,barnet,309970,E09000003,395.0,2222.0
2009-11-01,barnet,310970,E09000003,366.0,2219.0
2009-12-01,barnet,312235,E09000003,370.0,1967.0
2010-01-01,barnet,316926,E09000003,268.0,2039.0
